Time,Vehicles_Per_Minute,Lanes,Incident,Road_Id
07:00,12,2,none,Road A - North
07:15,18,2,none,Road A - North
07:30,28,2,none,Road A - North
07:45,35,2,none,Road A - North
08:00,42,2,none,Road A - North
08:15,48,2,roadwork,Road A - North
08:30,52,2,roadwork,Road A - North
08:45,45,2,none,Road A - North
09:00,32,2,none,Road A - North
09:15,22,2,none,Road A - North
12:00,15,2,none,Road A - North
15:00,24,2,none,Road A - North
17:00,38,2,none,Road A - North
17:15,44,2,accident,Road A - North
17:30,55,2,accident,Road A - North
17:45,46,2,none,Road A - North
18:00,36,2,none,Road A - North
20:00,14,2,none,Road A - North

07:00,10,2,none,Road B - East
07:15,14,2,none,Road B - East
07:30,22,2,none,Road B - East
07:45,30,2,none,Road B - East
08:00,36,2,none,Road B - East
08:15,40,2,none,Road B - East
08:30,38,2,none,Road B - East
08:45,32,2,none,Road B - East
09:00,24,2,none,Road B - East
12:00,12,2,none,Road B - East
17:00,32,2,none,Road B - East
17:15,38,2,none,Road B - East
17:30,42,2,roadwork,Road B - East
18:00,28,2,none,Road B - East

07:00,6,2,none,Road C - South
07:15,9,2,none,Road C - South
07:30,12,2,none,Road C - South
07:45,15,2,none,Road C - South
08:00,18,2,none,Road C - South
08:15,20,2,none,Road C - South
08:30,17,2,none,Road C - South
09:00,14,2,none,Road C - South
12:00,8,2,none,Road C - South
17:00,16,2,none,Road C - South
17:30,22,2,none,Road C - South
18:00,15,2,none,Road C - South

07:00,5,2,none,Road D - West
07:15,8,2,none,Road D - West
07:30,11,2,none,Road D - West
07:45,14,2,none,Road D - West
08:00,16,2,none,Road D - West
08:15,18,2,none,Road D - West
08:30,15,2,none,Road D - West
09:00,12,2,none,Road D - West
12:00,7,2,none,Road D - West
17:00,15,2,none,Road D - West
17:30,19,2,none,Road D - West
18:00,13,2,none,Road D - West
